id,value
id_101,27.124163929470164
id_102,11.398232780652837
id_103,16.426426865673534
id_104,23.42526104692217
id_105,40.6160826705684
id_106,25.864125026560405
id_107,5.4227369516723956
id_108,10.794921122256111
id_109,72.86213692992123
id_110,48.02283705948137
id_111,15.74680827690299
id_112,24.670410614177946
id_113,12.827793326536703
id_114,10.15805757024053
id_115,27.26922334202099
id_116,29.20873857793243
id_117,8.835339619930755
id_118,20.05108813712978
id_119,20.212333743764265
id_120,79.90600929870557
id_121,18.06161428826361
id_122,30.542809341304334
id_123,25.98079237772805
id_124,5.21257726816476
id_125,30.35569730585621
id_126,7.768322888914648
id_127,15.328268255393306
id_128,22.666365717697982
id_129,62.74205421109007
id_130,18.950780367988013
id_131,19.076355630838535
id_132,61.3715740916371
id_133,15.884562052629711
id_134,13.409418077705551
id_135,0.8487724836112843
id_136,7.83499671730414
id_137,57.0128290117968
id_138,25.60799675181382
id_139,4.9617047292420855
id_140,36.414879039062775
id_141,28.790006721975917
id_142,49.19412096197635
id_143,40.30686985573449
id_144,13.31618059398268
id_145,27.661011875229168
id_146,17.158027524366766
id_147,49.68726256929683
id_148,23.030272291604817
id_149,39.24093652484275
id_150,13.196753889412536
id_151,5.948893701039427
id_152,25.821608976304237
id_153,8.25863421429164
id_154,19.14632051722556
id_155,43.18248652651673
id_156,6.717843578093033
id_157,33.86961524681067
id_158,15.369937846981811
id_159,16.93904497355192
id_160,37.885336794634846
id_161,19.202484541054453
id_162,9.059504715654729
id_163,10.283399610648498
id_164,48.672447125698305
id_165,30.587716213230827
id_166,2.4774098975321697
id_167,12.811603937805954
id_168,70.32478980976462
id_169,14.840967694067036
id_170,68.8655875667886
id_171,42.741992444866334
id_172,24.00026154292016
id_173,23.420724860321464
id_174,61.67212443568238
id_175,25.494202845059167
id_176,19.00480978686909
id_177,34.88668288189682
id_178,9.402313398379736
id_179,29.520011314408013
id_180,14.57396588570048
id_181,9.12556314320359
id_182,52.81258399813187
id_183,45.039537994389626
id_184,17.45243467918329
id_185,38.49393527971432
id_186,27.03891909264383
id_187,65.58170967424581
id_188,7.037306380769587
id_189,52.71447713411568
id_190,38.20645933704974
id_191,21.169801059557813
id_192,30.247556879488393
id_193,2.7144229897163035
id_194,19.932932587640828
id_195,-3.413332337603937
id_196,32.44599940281316
id_197,10.582973029979955
id_198,21.775225707258446
id_199,62.4652920656779
id_200,24.132943687316484
id_201,26.20123964740098
id_202,63.74447723440287
id_203,2.8342977741290363
id_204,14.379246986978869
id_205,9.369850731753887
id_206,9.881166613595406
id_207,3.494945358972139
id_208,122.60804937921782
id_209,21.0835130144806
id_210,17.532220599455123
id_211,20.183098344597003
id_212,36.393132212281834
id_213,34.93515120529069
id_214,18.83031266145863
id_215,38.34455552272332
id_216,77.91663413807038
id_217,1.795323550888218
id_218,13.445827939135777
id_219,36.131155590412135
id_220,15.150403498166297
id_221,12.94184833441792
id_222,113.12524093786388
id_223,15.22460467793434
id_224,14.824025968612062
id_225,59.26735368854043
id_226,10.58369529071846
id_227,20.993062563532195
id_228,9.789365880830395
id_229,4.771180008705991
id_230,47.92780690481289
id_231,12.399438394751037
id_232,48.146476562644146
id_233,40.46638039656413
id_234,16.940590270332933
id_235,41.266544489418735
id_236,69.027892033729
id_237,40.34624924412241
id_238,14.313743982871108
id_239,15.77072663421982
